Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-27,No harmful species,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-02,No harmful species,420,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B1 - AFFNI55,Mussels,2020-02-12,No harmful species,140,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-24,20,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-09,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-16,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-23,No harmful species,560,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-30,No harmful species,1000,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-04-27,No harmful species,No harmful species,20,Open,
Belfast,B1 - AFFNI55,Mussels,2020-05-12,No harmful species,60,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-05-26,No harmful species,420,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-06-08,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-06-22,No harmful species,4120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-07-14,No harmful species,2280,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-07-27,No harmful species,120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-08-10,No harmful species,"11,000",No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-08-24,No harmful species,"14,060",No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-09-07,No harmful species,120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-09-21,No harmful species,380,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-27,No harmful species,240,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B3 - AFFNI50,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-24,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-09,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-16,No harmful species,100,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-23,No harmful species,720,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-30,No harmful species,820,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-04-27,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-05-12,No harmful species,260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-05-26,No harmful species,40,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-06-08,20,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-06-22,No harmful species,1740,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-07-14,No harmful species,720,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-07-27,20,260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-08-10,No harmful species,"15,240",No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-08-24,No harmful species,"18,120",No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-09-07,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-09-21,No harmful species,"1,260",No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-20,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-27,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-02,No harmful species,100,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B12 - AFFNI54,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-24,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-02,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-09,No harmful species,80,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-16,No harmful species,220,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-23,No harmful species,1360,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-30,No harmful species,1460,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-04-27,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-05-12,No harmful species,300,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-05-26,No harmful species,160,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-06-08,No harmful species,200,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-06-22,60,18620,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-07-14,40,3240,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-07-27,40,180,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-08-10,120,"22,800",No harmful species,Open,Investigatory email issued 12/08/2020 as D.acuminata (DSP) was present above trigger levels. 
Belfast,B12 - AFFNI54,Mussels,2020-08-24,20,"12,200",No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-09-07,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-09-21,No harmful species,800,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-20,No harmful species,240,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-27,No harmful species,100,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B20 - AFFNI53,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-24,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-09,No harmful species,40,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-16,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-23,No harmful species,920,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-30,No harmful species,1180,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-04-27,No harmful species,No harmful species,20,Open,
Belfast,B20 - AFFNI53,Mussels,2020-05-12,No harmful species,760,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-05-26,No harmful species,480,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-06-08,No harmful species,2060,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-06-22,No harmful species,6200,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-07-14,140,3660,No harmful species,Open,D. acuminata present above trigger level. Investigatory email issued 16/07/2020. 
Belfast,B20 - AFFNI53,Mussels,2020-07-27,20,1040,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-08-10,40,3980,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-08-24,No harmful species,2280,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-09-07,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-09-21,No harmful species,320,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-02-03,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-03-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-03-31,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-04-27,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-05-11,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-05-27,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-06-09,No harmful species,120,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-06-23,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-06-30,40,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-07-15,No harmful species,1680,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-07-27,No harmful species,1400,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-08-10,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-09-01,No harmful species,80,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,2020-09-14,No harmful species,160,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-02-03,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-03-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-03-31,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-04-27,20,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-05-11,No harmful species,80,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-05-27,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-06-09,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-06-23,No harmful species,40,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-06-30,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-07-15,No harmful species,520,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-07-27,No harmful species,4600,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-08-10,60,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-09-01,No harmful species,260,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2020-09-14,No harmful species,460,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-02-03,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-03-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-03-31,No harmful species,180,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-04-27,No harmful species,80,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-05-11,40,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-05-27,No harmful species,140,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-06-09,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-06-23,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-06-30,80,700,40,Open,Investigatory email issued 01/07/2020 as Alexandrium spp. (PSP) was present above trigger levels. 
Carlingford,C11 - AFFNI84,Oysters,2020-07-15,No harmful species,180,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-07-27,40,2100,20,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-08-10,20,980,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-09-01,No harmful species,580,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,2020-09-14,No harmful species,2900,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-02-03,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-03-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C3 - AFFNI94,Mussels,2020-03-31,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-04-16,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-04-28,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-05-12,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-05-27,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-06-09,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-06-23,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-06-30,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-07-15,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-07-28,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-08-10,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C3 - AFFNI94,Mussels,2020-09-01,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-02-03,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-03-15,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C4 - AFFNI68,Mussels,2020-03-31,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-04-16,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-04-28,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-05-12,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-05-27,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-06-09,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-06-23,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-06-30,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-07-15,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Carlingford,C4 - AFFNI68,Mussels,2020-07-28,,,,Open,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
